,precision,recall,f1-score,support
anger,0.4273339749759384,0.3761118170266836,0.4000901103852219,2361.0
contempt,0.577079107505071,0.6688871473354232,0.6196007259528131,2552.0
disgust,0.5239948119325551,0.5002063557573256,0.5118243243243243,2423.0
fear,0.41365461847389556,0.3612450679526523,0.3856775099461736,2281.0
happy,0.7260327357755261,0.742822966507177,0.73433188805676,2508.0
neutral,0.5697106350995866,0.6047068209014759,0.586687306501548,2507.0
sad,0.37625570776255707,0.3657345761207279,0.370920549178483,2253.0
surprise,0.5161163522012578,0.5432354158047166,0.5293287643620238,2417.0
accuracy,0.5256968189824889,0.5256968189824889,0.5256968189824889,0.5256968189824889
macro avg,0.5162722429657984,0.5203687709257727,0.5173076473384185,19302.0
weighted avg,0.5201087456067679,0.5256968189824889,0.5218793707742211,19302.0
